CNN,Task,Train,Activation,Optimizer,Val_Accuracy
1,size,TS-controlled,linear,adagrad,0.9167
2,size,TS-controlled,linear,nadam,0.9125
3,size,TS-controlled,linear,adagrad,0.9125
4,size,TS-controlled,linear,adamax,0.9083
5,size,TS-controlled,linear,adagrad,0.8833
6,size,TS-controlled,tanh,adagrad,0.8292
7,size,TS-controlled,linear,nadam,0.8083
8,size,TS-controlled,tanh,nadam,0.7708
9,size,TS-controlled,linear,adadelta,0.5708
10,size,TS-controlled,relu,adadelta,0.5083
11,size,TS-controlled,linear,adadelta,0.5083
12,size,TS-controlled,sigmoid,adadelta,0.5083
13,size,TS-controlled,linear,adadelta,0.5
14,size,TS-controlled,relu,sgd,0.4917
15,size,TS-controlled,linear,sgd,0.4917
16,size,TS-controlled,hard_sigmoid,adam,0.4917
17,size,TS-controlled,hard_sigmoid,sgd,0.4917
18,size,TS-controlled,relu,sgd,0.4917
19,size,TS-controlled,tanh,nadam,0.4917
20,size,TS-controlled,linear,sgd,0.4917
21,size-count,TS-controlled,linear,adamax,0.825
22,size-count,TS-controlled,elu,adamax,0.825
23,size-count,TS-controlled,relu,adamax,0.825
24,size-count,TS-controlled,elu,adamax,0.825
25,size-count,TS-controlled,linear,adamax,0.825
26,size-count,TS-controlled,linear,adagrad,0.825
27,size-count,TS-controlled,hard_sigmoid,adagrad,0.825
28,size-count,TS-controlled,linear,adamax,0.825
29,size-count,TS-controlled,elu,adamax,0.825
30,size-count,TS-controlled,elu,nadam,0.825
31,size-count,TS-controlled,softplus,adamax,0.825
32,size-count,TS-controlled,elu,adamax,0.825
33,size-count,TS-controlled,elu,adagrad,0.825
34,size-count,TS-controlled,linear,adamax,0.825
35,size-count,TS-controlled,hard_sigmoid,adamax,0.825
36,size-count,TS-controlled,elu,nadam,0.825
37,size-count,TS-controlled,tanh,adam,0.825
38,size-count,TS-controlled,linear,adamax,0.825
39,size-count,TS-controlled,elu,adagrad,0.825
40,size-count,TS-controlled,hard_sigmoid,adamax,0.825
41,count,TS-controlled,hard_sigmoid,nadam,0.825
42,count,TS-controlled,elu,adam,0.825
43,count,TS-controlled,sigmoid,adamax,0.825
44,count,TS-controlled,relu,adam,0.825
45,count,TS-controlled,relu,adamax,0.825
46,count,TS-controlled,relu,nadam,0.825
47,count,TS-controlled,sigmoid,adadelta,0.825
48,count,TS-controlled,relu,rmsprop,0.825
49,count,TS-controlled,relu,adam,0.825
50,count,TS-controlled,hard_sigmoid,adadelta,0.825
51,count,TS-controlled,elu,rmsprop,0.825
52,count,TS-controlled,relu,sgd,0.825
53,count,TS-controlled,linear,adagrad,0.825
54,count,TS-controlled,relu,adamax,0.825
55,count,TS-controlled,tanh,adam,0.825
56,count,TS-controlled,relu,nadam,0.825
57,count,TS-controlled,elu,nadam,0.825
58,count,TS-controlled,tanh,rmsprop,0.8208
59,count,TS-controlled,relu,adadelta,0.7125
60,count,TS-controlled,relu,adadelta,0.4708
61,size,AD-controlled,tanh,adam,0.9875
62,size,AD-controlled,relu,adam,0.9792
63,size,AD-controlled,tanh,adam,0.9792
64,size,AD-controlled,linear,adamax,0.9792
65,size,AD-controlled,elu,adam,0.975
66,size,AD-controlled,relu,adamax,0.9708
67,size,AD-controlled,tanh,adagrad,0.9667
68,size,AD-controlled,relu,adam,0.9625
69,size,AD-controlled,linear,adam,0.9625
70,size,AD-controlled,tanh,adamax,0.9625
71,size,AD-controlled,linear,adam,0.9542
72,size,AD-controlled,linear,adam,0.95
73,size,AD-controlled,relu,adam,0.9458
74,size,AD-controlled,relu,adam,0.925
75,size,AD-controlled,tanh,adam,0.9208
76,size,AD-controlled,tanh,adamax,0.9083
77,size,AD-controlled,relu,adam,0.8917
78,size,AD-controlled,relu,adam,0.85
79,size,AD-controlled,relu,adam,0.7875
80,size,AD-controlled,softplus,adam,0.4833
81,size-count,AD-controlled,linear,adam,0.8375
82,size-count,AD-controlled,linear,adam,0.8292
83,size-count,AD-controlled,tanh,adagrad,0.8292
84,size-count,AD-controlled,elu,adagrad,0.8292
85,size-count,AD-controlled,linear,adagrad,0.8292
86,size-count,AD-controlled,hard_sigmoid,adam,0.8292
87,size-count,AD-controlled,elu,adam,0.8292
88,size-count,AD-controlled,elu,adam,0.8292
89,size-count,AD-controlled,relu,adagrad,0.8292
90,size-count,AD-controlled,elu,nadam,0.8292
91,size-count,AD-controlled,elu,adagrad,0.8292
92,size-count,AD-controlled,sigmoid,adagrad,0.8292
93,size-count,AD-controlled,elu,adagrad,0.8292
94,size-count,AD-controlled,elu,adagrad,0.8292
95,size-count,AD-controlled,tanh,adam,0.8292
96,size-count,AD-controlled,elu,adagrad,0.8292
97,size-count,AD-controlled,linear,adam,0.8292
98,size-count,AD-controlled,elu,adagrad,0.8292
99,size-count,AD-controlled,elu,adamax,0.8167
100,size-count,AD-controlled,elu,adadelta,0.6
101,count,AD-controlled,softplus,sgd,0.8333
102,count,AD-controlled,tanh,sgd,0.8333
103,count,AD-controlled,softplus,adam,0.8333
104,count,AD-controlled,relu,sgd,0.8333
105,count,AD-controlled,hard_sigmoid,adam,0.8333
106,count,AD-controlled,softplus,adam,0.8333
107,count,AD-controlled,softplus,adam,0.8333
108,count,AD-controlled,hard_sigmoid,nadam,0.8333
109,count,AD-controlled,relu,sgd,0.8333
110,count,AD-controlled,sigmoid,adam,0.8333
111,count,AD-controlled,softplus,adam,0.8333
112,count,AD-controlled,sigmoid,adam,0.8333
113,count,AD-controlled,elu,nadam,0.8333
114,count,AD-controlled,relu,rmsprop,0.8333
115,count,AD-controlled,relu,nadam,0.8333
116,count,AD-controlled,sigmoid,adam,0.8333
117,count,AD-controlled,softplus,adagrad,0.8333
118,count,AD-controlled,softplus,adam,0.8333
119,count,AD-controlled,linear,adam,0.8333
120,count,AD-controlled,tanh,adam,0.475
121,size,CH-controlled,tanh,adam,0.9917
122,size,CH-controlled,tanh,adam,0.9917
123,size,CH-controlled,tanh,adagrad,0.9792
124,size,CH-controlled,tanh,adam,0.9792
125,size,CH-controlled,tanh,adagrad,0.975
126,size,CH-controlled,tanh,adam,0.975
127,size,CH-controlled,elu,adagrad,0.975
128,size,CH-controlled,tanh,adagrad,0.9708
129,size,CH-controlled,elu,adagrad,0.9667
130,size,CH-controlled,elu,adagrad,0.9667
131,size,CH-controlled,tanh,adagrad,0.9625
132,size,CH-controlled,tanh,adagrad,0.9625
133,size,CH-controlled,relu,adagrad,0.9417
134,size,CH-controlled,tanh,adam,0.9375
135,size,CH-controlled,tanh,adagrad,0.9375
136,size,CH-controlled,tanh,adagrad,0.9333
137,size,CH-controlled,tanh,adagrad,0.8875
138,size,CH-controlled,linear,rmsprop,0.7083
139,size,CH-controlled,tanh,adadelta,0.5083
140,size,CH-controlled,tanh,rmsprop,0.5
141,size-count,CH-controlled,linear,adamax,0.85
142,size-count,CH-controlled,elu,adam,0.8375
143,size-count,CH-controlled,softplus,adamax,0.8333
144,size-count,CH-controlled,softplus,sgd,0.8333
145,size-count,CH-controlled,linear,sgd,0.8333
146,size-count,CH-controlled,sigmoid,adamax,0.8333
147,size-count,CH-controlled,softplus,adamax,0.8333
148,size-count,CH-controlled,relu,adamax,0.8333
149,size-count,CH-controlled,elu,adagrad,0.8333
150,size-count,CH-controlled,softplus,adadelta,0.8333
151,size-count,CH-controlled,linear,adagrad,0.8333
152,size-count,CH-controlled,sigmoid,adagrad,0.8333
153,size-count,CH-controlled,hard_sigmoid,rmsprop,0.8333
154,size-count,CH-controlled,softplus,sgd,0.8333
155,size-count,CH-controlled,softplus,adam,0.8333
156,size-count,CH-controlled,linear,adagrad,0.8333
157,size-count,CH-controlled,hard_sigmoid,adagrad,0.8333
158,size-count,CH-controlled,hard_sigmoid,rmsprop,0.8333
159,size-count,CH-controlled,linear,adamax,0.8333
160,size-count,CH-controlled,linear,rmsprop,0.1667
161,count,CH-controlled,tanh,nadam,0.8667
162,count,CH-controlled,elu,adamax,0.8333
163,count,CH-controlled,tanh,adagrad,0.8333
164,count,CH-controlled,hard_sigmoid,adamax,0.8333
165,count,CH-controlled,sigmoid,adagrad,0.8333
166,count,CH-controlled,elu,rmsprop,0.8333
167,count,CH-controlled,sigmoid,adam,0.8333
168,count,CH-controlled,hard_sigmoid,rmsprop,0.8333
169,count,CH-controlled,sigmoid,sgd,0.8333
170,count,CH-controlled,sigmoid,adamax,0.8333
171,count,CH-controlled,linear,nadam,0.8333
172,count,CH-controlled,elu,rmsprop,0.8333
173,count,CH-controlled,linear,adamax,0.8333
174,count,CH-controlled,sigmoid,adagrad,0.8333
175,count,CH-controlled,hard_sigmoid,adagrad,0.8333
176,count,CH-controlled,relu,adamax,0.8333
177,count,CH-controlled,elu,adamax,0.8333
178,count,CH-controlled,relu,sgd,0.8333
179,count,CH-controlled,tanh,adam,0.8333
180,count,CH-controlled,sigmoid,adamax,0.8333