,Task,Train,Congruity,Test,Ratio,Accuracy,std
19,colors-count,AD-controlled,Incongruent,AD-controlled,50,0.535,0.1639158963
20,colors-count,AD-controlled,Incongruent,AD-controlled,56,0.8875,0.138483326
21,colors-count,AD-controlled,Incongruent,AD-controlled,63,0.7925,0.1206070173
22,colors-count,AD-controlled,Incongruent,AD-controlled,71,0.82,0.150787407
23,colors-count,AD-controlled,Incongruent,AD-controlled,75,0.76,0.1283498508
24,colors-count,AD-controlled,Incongruent,AD-controlled,86,0.775,0.1186547402
25,colors-count,AD-controlled,Incongruent,CH-controlled,50,0.1525,0.1427871069
26,colors-count,AD-controlled,Incongruent,CH-controlled,56,0.27,0.09787209699
27,colors-count,AD-controlled,Incongruent,CH-controlled,63,0.375,0.08958970806
28,colors-count,AD-controlled,Incongruent,CH-controlled,71,0.2825,0.09497229513
29,colors-count,AD-controlled,Incongruent,CH-controlled,75,0.3425,0.05910516942
30,colors-count,AD-controlled,Incongruent,CH-controlled,86,0.2875,0.09441649053
31,colors-count,AD-controlled,Incongruent,TS-controlled,50,0.5525,0.07340407274
32,colors-count,AD-controlled,Incongruent,TS-controlled,56,0.3875,0.08409737464
33,colors-count,AD-controlled,Incongruent,TS-controlled,63,0.475,0.1446411167
34,colors-count,AD-controlled,Incongruent,TS-controlled,71,0.3825,0.115022881
35,colors-count,AD-controlled,Incongruent,TS-controlled,75,0.385,0.09046662659
36,colors-count,AD-controlled,Incongruent,TS-controlled,86,0.52,0.08013147092
55,colors-count,CH-controlled,Incongruent,AD-controlled,50,0.5275,0.1208250148
56,colors-count,CH-controlled,Incongruent,AD-controlled,56,0.6475,0.2256423579
57,colors-count,CH-controlled,Incongruent,AD-controlled,63,0.635,0.2109502311
58,colors-count,CH-controlled,Incongruent,AD-controlled,71,0.5825,0.1515490193
59,colors-count,CH-controlled,Incongruent,AD-controlled,75,0.5575,0.1558296979
60,colors-count,CH-controlled,Incongruent,AD-controlled,86,0.54,0.1721382553
61,colors-count,CH-controlled,Incongruent,CH-controlled,50,0.45,0.1646367613
62,colors-count,CH-controlled,Incongruent,CH-controlled,56,0.62,0.1962812161
63,colors-count,CH-controlled,Incongruent,CH-controlled,63,0.55,0.2115108558
64,colors-count,CH-controlled,Incongruent,CH-controlled,71,0.5625,0.1613063447
65,colors-count,CH-controlled,Incongruent,CH-controlled,75,0.58,0.1845335514
66,colors-count,CH-controlled,Incongruent,CH-controlled,86,0.475,0.1743408639
67,colors-count,CH-controlled,Incongruent,TS-controlled,50,0.62,0.1481464425
68,colors-count,CH-controlled,Incongruent,TS-controlled,56,0.535,0.1505253957
69,colors-count,CH-controlled,Incongruent,TS-controlled,63,0.4825,0.1398071981
70,colors-count,CH-controlled,Incongruent,TS-controlled,71,0.4925,0.1259438053
71,colors-count,CH-controlled,Incongruent,TS-controlled,75,0.46,0.1273205652
72,colors-count,CH-controlled,Incongruent,TS-controlled,86,0.4275,0.1371466752
91,colors-count,TS-controlled,Incongruent,AD-controlled,50,0.8525,0.1551527261
92,colors-count,TS-controlled,Incongruent,AD-controlled,56,0.9375,0.1613063447
93,colors-count,TS-controlled,Incongruent,AD-controlled,63,0.84,0.1447320573
94,colors-count,TS-controlled,Incongruent,AD-controlled,71,0.7725,0.1240490141
95,colors-count,TS-controlled,Incongruent,AD-controlled,75,0.7675,0.1216930997
96,colors-count,TS-controlled,Incongruent,AD-controlled,86,0.64,0.08675434162
97,colors-count,TS-controlled,Incongruent,CH-controlled,50,0.4675,0.1138731982
98,colors-count,TS-controlled,Incongruent,CH-controlled,56,0.4025,0.08955298343
99,colors-count,TS-controlled,Incongruent,CH-controlled,63,0.405,0.08870412083
100,colors-count,TS-controlled,Incongruent,CH-controlled,71,0.5775,0.09930680795
101,colors-count,TS-controlled,Incongruent,CH-controlled,75,0.49,0.08973645624
102,colors-count,TS-controlled,Incongruent,CH-controlled,86,0.4425,0.115022881
103,colors-count,TS-controlled,Incongruent,TS-controlled,50,0.89,0.1500876937
104,colors-count,TS-controlled,Incongruent,TS-controlled,56,0.835,0.1318891081
105,colors-count,TS-controlled,Incongruent,TS-controlled,63,0.8075,0.1558296979
106,colors-count,TS-controlled,Incongruent,TS-controlled,71,0.585,0.09333020045
107,colors-count,TS-controlled,Incongruent,TS-controlled,75,0.695,0.0958342868
108,colors-count,TS-controlled,Incongruent,TS-controlled,86,0.595,0.0985420028
127,count,AD-controlled,Incongruent,AD-controlled,50,0.36,0.1682729612
128,count,AD-controlled,Incongruent,AD-controlled,56,0.755,0.1621402901
129,count,AD-controlled,Incongruent,AD-controlled,63,0.6675,0.1259438053
130,count,AD-controlled,Incongruent,AD-controlled,71,0.7,0.1203066258
131,count,AD-controlled,Incongruent,AD-controlled,75,0.6825,0.1320635812
132,count,AD-controlled,Incongruent,AD-controlled,86,0.8525,0.1240490141
133,count,AD-controlled,Incongruent,CH-controlled,50,0.2325,0.1195110653
134,count,AD-controlled,Incongruent,CH-controlled,56,0.2525,0.126152581
135,count,AD-controlled,Incongruent,CH-controlled,63,0.255,0.1422562551
136,count,AD-controlled,Incongruent,CH-controlled,71,0.255,0.1276302225
137,count,AD-controlled,Incongruent,CH-controlled,75,0.34,0.09947229183
138,count,AD-controlled,Incongruent,CH-controlled,86,0.3575,0.09634778013
139,count,AD-controlled,Incongruent,TS-controlled,50,0.7375,0.1356029421
140,count,AD-controlled,Incongruent,TS-controlled,56,0.4075,0.137912062
141,count,AD-controlled,Incongruent,TS-controlled,63,0.475,0.06177207681
142,count,AD-controlled,Incongruent,TS-controlled,71,0.3825,0.1103523066
143,count,AD-controlled,Incongruent,TS-controlled,75,0.445,0.09719757415
144,count,AD-controlled,Incongruent,TS-controlled,86,0.365,0.07451598204
163,count,CH-controlled,Incongruent,AD-controlled,50,0.42,0.1080935268
164,count,CH-controlled,Incongruent,AD-controlled,56,0.735,0.07089651465
165,count,CH-controlled,Incongruent,AD-controlled,63,0.7625,0.06663924875
166,count,CH-controlled,Incongruent,AD-controlled,71,0.7075,0.06340139464
167,count,CH-controlled,Incongruent,AD-controlled,75,0.685,0.08444867641
168,count,CH-controlled,Incongruent,AD-controlled,86,0.71,0.09679060415
169,count,CH-controlled,Incongruent,CH-controlled,50,0.48,0.106869325
170,count,CH-controlled,Incongruent,CH-controlled,56,0.7325,0.08315331433
171,count,CH-controlled,Incongruent,CH-controlled,63,0.5775,0.07158910532
172,count,CH-controlled,Incongruent,CH-controlled,71,0.555,0.07762934876
173,count,CH-controlled,Incongruent,CH-controlled,75,0.665,0.07089651465
174,count,CH-controlled,Incongruent,CH-controlled,86,0.61,0.07362779795
175,count,CH-controlled,Incongruent,TS-controlled,50,0.6775,0.0966205274
176,count,CH-controlled,Incongruent,TS-controlled,56,0.55,0.1513100685
177,count,CH-controlled,Incongruent,TS-controlled,63,0.5525,0.08807144229
178,count,CH-controlled,Incongruent,TS-controlled,71,0.4825,0.08155559938
179,count,CH-controlled,Incongruent,TS-controlled,75,0.5775,0.07859791078
180,count,CH-controlled,Incongruent,TS-controlled,86,0.4275,0.08955298343
199,count,TS-controlled,Incongruent,AD-controlled,50,0.5725,0.1437056568
200,count,TS-controlled,Incongruent,AD-controlled,56,0.7775,0.1219091551
201,count,TS-controlled,Incongruent,AD-controlled,63,0.7325,0.1216930997
202,count,TS-controlled,Incongruent,AD-controlled,71,0.8125,0.1596665934
203,count,TS-controlled,Incongruent,AD-controlled,75,0.685,0.1136708082
204,count,TS-controlled,Incongruent,AD-controlled,86,0.8125,0.1286314605
205,count,TS-controlled,Incongruent,CH-controlled,50,0.3925,0.09904145862
206,count,TS-controlled,Incongruent,CH-controlled,56,0.355,0.1485898629
207,count,TS-controlled,Incongruent,CH-controlled,63,0.2875,0.1244725715
208,count,TS-controlled,Incongruent,CH-controlled,71,0.3275,0.07517523388
209,count,TS-controlled,Incongruent,CH-controlled,75,0.4775,0.06584471365
210,count,TS-controlled,Incongruent,CH-controlled,86,0.3825,0.1259438053
211,count,TS-controlled,Incongruent,TS-controlled,50,0.38,0.1331797361
212,count,TS-controlled,Incongruent,TS-controlled,56,0.7775,0.1720426814
213,count,TS-controlled,Incongruent,TS-controlled,63,0.72,0.1633530242
214,count,TS-controlled,Incongruent,TS-controlled,71,0.7225,0.1464267376
215,count,TS-controlled,Incongruent,TS-controlled,75,0.8,0.1337712108
216,count,TS-controlled,Incongruent,TS-controlled,86,0.7075,0.1340414311
235,size-count,AD-controlled,Incongruent,AD-controlled,50,0.475,0.1817314386
236,size-count,AD-controlled,Incongruent,AD-controlled,56,0.7275,0.1860072155
237,size-count,AD-controlled,Incongruent,AD-controlled,63,0.6375,0.144071437
238,size-count,AD-controlled,Incongruent,AD-controlled,71,0.6775,0.1219091551
239,size-count,AD-controlled,Incongruent,AD-controlled,75,0.61,0.1209610638
240,size-count,AD-controlled,Incongruent,AD-controlled,86,0.8275,0.1390522431
241,size-count,AD-controlled,Incongruent,CH-controlled,50,0.28,0.1140175425
242,size-count,AD-controlled,Incongruent,CH-controlled,56,0.2375,0.08866702941
243,size-count,AD-controlled,Incongruent,CH-controlled,63,0.22,0.08335087535
244,size-count,AD-controlled,Incongruent,CH-controlled,71,0.2175,0.09215975831
245,size-count,AD-controlled,Incongruent,CH-controlled,75,0.315,0.08900029568
246,size-count,AD-controlled,Incongruent,CH-controlled,86,0.3325,0.06129093691
247,size-count,AD-controlled,Incongruent,TS-controlled,50,0.72,0.09787209699
248,size-count,AD-controlled,Incongruent,TS-controlled,56,0.42,0.1151657844
249,size-count,AD-controlled,Incongruent,TS-controlled,63,0.4775,0.09930680795
250,size-count,AD-controlled,Incongruent,TS-controlled,71,0.435,0.1623025116
251,size-count,AD-controlled,Incongruent,TS-controlled,75,0.42,0.09920738512
252,size-count,AD-controlled,Incongruent,TS-controlled,86,0.3575,0.04666510022
271,size-count,CH-controlled,Incongruent,AD-controlled,50,0.4125,0.1805510571
272,size-count,CH-controlled,Incongruent,AD-controlled,56,0.76,0.06805570474
273,size-count,CH-controlled,Incongruent,AD-controlled,63,0.8025,0.05495213228
274,size-count,CH-controlled,Incongruent,AD-controlled,71,0.7,0.06882472016
275,size-count,CH-controlled,Incongruent,AD-controlled,75,0.775,0.07863975157
276,size-count,CH-controlled,Incongruent,AD-controlled,86,0.81,0.05982430416
277,size-count,CH-controlled,Incongruent,CH-controlled,50,0.5525,0.07340407274
278,size-count,CH-controlled,Incongruent,CH-controlled,56,0.83,0.09787209699
279,size-count,CH-controlled,Incongruent,CH-controlled,63,0.74,0.1083367071
280,size-count,CH-controlled,Incongruent,CH-controlled,71,0.6075,0.07826237921
281,size-count,CH-controlled,Incongruent,CH-controlled,75,0.77,0.1093040183
282,size-count,CH-controlled,Incongruent,CH-controlled,86,0.68,0.1043778561
283,size-count,CH-controlled,Incongruent,TS-controlled,50,0.715,0.1170919567
284,size-count,CH-controlled,Incongruent,TS-controlled,56,0.495,0.126595086
285,size-count,CH-controlled,Incongruent,TS-controlled,63,0.49,0.08045920836
286,size-count,CH-controlled,Incongruent,TS-controlled,71,0.485,0.07451598204
287,size-count,CH-controlled,Incongruent,TS-controlled,75,0.51,0.06198471798
288,size-count,CH-controlled,Incongruent,TS-controlled,86,0.4125,0.06663924875
307,size-count,TS-controlled,Incongruent,AD-controlled,50,0.7473684211,0.1918286882
308,size-count,TS-controlled,Incongruent,AD-controlled,56,0.95,0.08498365856
309,size-count,TS-controlled,Incongruent,AD-controlled,63,0.8973684211,0.07541309238
310,size-count,TS-controlled,Incongruent,AD-controlled,71,0.9026315789,0.0824514743
311,size-count,TS-controlled,Incongruent,AD-controlled,75,0.8526315789,0.0978571581
312,size-count,TS-controlled,Incongruent,AD-controlled,86,0.8421052632,0.07502436251
313,size-count,TS-controlled,Incongruent,CH-controlled,50,0.4894736842,0.08093026382
314,size-count,TS-controlled,Incongruent,CH-controlled,56,0.5315789474,0.1192692173
315,size-count,TS-controlled,Incongruent,CH-controlled,63,0.4710526316,0.08549819601
316,size-count,TS-controlled,Incongruent,CH-controlled,71,0.4342105263,0.07826704922
317,size-count,TS-controlled,Incongruent,CH-controlled,75,0.5157894737,0.0646628684
318,size-count,TS-controlled,Incongruent,CH-controlled,86,0.5210526316,0.09763280055
319,size-count,TS-controlled,Incongruent,TS-controlled,50,0.6947368421,0.1906820629
320,size-count,TS-controlled,Incongruent,TS-controlled,56,0.9447368421,0.1499025024
321,size-count,TS-controlled,Incongruent,TS-controlled,63,0.8342105263,0.129156055
322,size-count,TS-controlled,Incongruent,TS-controlled,71,0.8578947368,0.1325635675
323,size-count,TS-controlled,Incongruent,TS-controlled,75,0.8763157895,0.1357780266
324,size-count,TS-controlled,Incongruent,TS-controlled,86,0.7210526316,0.1071289325